キーワード,内容
"パスワード,文字数,特殊文字,強度,ポリシー","【パスワードポリシー】パスワードは8文字以上で、大文字・小文字・数字・特殊文字（!@#$%^&*）をそれぞれ1つ以上含む必要があります。過去5回以内に使用したパスワードは再利用できません。90日ごとに変更が必要です。"
"パスワード,リセット,再設定,忘れた,変更","【パスワードリセット手順】ログイン画面の「パスワードをお忘れですか？」をクリックし、登録メールアドレスを入力してください。届いたメール内のリンクから新しいパスワードを設定できます。リンクの有効期限は24時間です。"
"アカウント,ロック,解除,回数,ログイン失敗","【アカウントロックと解除】パスワードを5回連続で間違えるとアカウントがロックされます。30分経過で自動解除されますが、すぐに解除が必要な場合はシステム管理者に連絡してください。本人確認のため社員番号の提示が必要です。"
"二段階認証,2FA,認証アプリ,QRコード,設定","【二段階認証の設定】「マイアカウント」→「セキュリティ設定」→「二段階認証を有効化」を選択します。表示されたQRコードをGoogle AuthenticatorやMicrosoft Authenticatorでスキャンし、生成された6桁のコードを入力して設定を完了します。"
"二段階認証,2FA,エラー,機能しない,コード,時刻","【二段階認証が機能しない場合】認証コードが通らない場合、端末の時刻が正確か確認してください。時刻のずれが原因の大半です。解決しない場合は、設定時に保存したバックアップコード（8桁）でログインし、二段階認証を再設定してください。"
"ログイン,手順,URL,ブラウザ,初回","【ログイン手順】ブラウザで https://xyz-system.example.com にアクセスし、社員番号とパスワードを入力して「ログイン」をクリックします。初回ログイン時は仮パスワードの変更とセキュリティ質問の設定が必要です。推奨ブラウザはChrome、Edge、Firefoxの最新版です。"
"ログアウト,セッション,タイムアウト,自動,有効期限","【セッションとログアウト】操作がない状態が30分続くと自動ログアウトされます。手動でログアウトするには画面右上のユーザーアイコン→「ログアウト」を選択してください。共有端末では必ず手動ログアウトを行ってください。"
"アカウント,作成,新規,登録,社員","【新規アカウント作成】新規アカウントの作成はシステム管理者が行います。人事部門からの入社連絡を受けて、管理者が社員番号・氏名・メールアドレス・所属部署を登録します。作成後、本人のメールアドレスに仮パスワードが送信されます。"
"アカウント,削除,退職,無効化,データ保持","【アカウント削除・無効化】退職者のアカウントは管理者が無効化します。無効化後もユーザーが作成したデータ（ドキュメント・コメント等）は保持されます。完全削除を行う場合は、事前にデータのエクスポートを推奨します。完全削除後のデータ復元はできません。"
"プロフィール,表示名,メールアドレス,部署,変更","【プロフィール編集】画面右上のユーザーアイコン→「プロフィール設定」から表示名・メールアドレス・部署・電話番号を編集できます。プロフィール画像はJPGまたはPNG形式（5MB以下）でアップロード可能です。変更は即座に反映されます。"
