キーワード,内容
"プロジェクト,作成,新規,開始","【プロジェクトの新規作成】ダッシュボード左メニュー「プロジェクト一覧」→「＋新規作成」をクリックします。プロジェクト名・開始日・終了日・概要を入力し、テンプレートを選択して「作成」を押します。作成にはプロジェクトマネージャー以上の権限が必要です。"
"プロジェクト,テンプレート,種類,適用","【プロジェクトテンプレート】「ソフトウェア開発」「マーケティングキャンペーン」「イベント企画」「汎用」の4種類のテンプレートが用意されています。テンプレートにはあらかじめタスク構成・マイルストーン・ロールが定義されており、作成後にカスタマイズ可能です。"
"メンバー,追加,削除,招待,ロール","【メンバー管理】プロジェクト画面の「メンバー」タブから追加・削除ができます。「メンバー追加」ボタンでユーザーを検索し、ロール（管理者・編集者・閲覧者）を指定して招待します。招待されたユーザーにはメール通知が届きます。"
"タスク,作成,割り当て,担当者,優先度","【タスクの作成と割り当て】プロジェクト画面の「タスク」タブで「＋タスク追加」をクリックします。タスク名・説明・担当者・期限・優先度（高・中・低）を設定します。担当者には自動的に通知が送信されます。"
"タスク,ステータス,進捗,完了,変更","【タスクのステータス管理】タスクのステータスは「未着手」「進行中」「レビュー中」「完了」の4段階です。タスクカードをドラッグ＆ドロップでステータス変更できます。「完了」にするとプロジェクトの進捗率に自動反映されます。"
"スケジュール,期限,延長,変更,日程","【スケジュール管理】プロジェクト画面の「スケジュール」タブで全タスクの日程を一覧表示できます。タスクの期限変更はタスク詳細画面またはガントチャート上でドラッグして行います。期限超過のタスクは赤色でハイライトされます。"
"マイルストーン,設定,目標,中間,チェックポイント","【マイルストーン設定】プロジェクト画面の「マイルストーン」タブで中間目標を設定できます。マイルストーン名・達成予定日・達成条件を入力します。関連タスクを紐づけると、タスクの完了状況に応じてマイルストーンの進捗が自動計算されます。"
"ガントチャート,表示,依存関係,タイムライン","【ガントチャート】プロジェクト画面の「ガントチャート」タブでタスクのタイムラインを視覚的に確認できます。タスク間の依存関係（先行タスク・後続タスク）を矢印で接続でき、先行タスクの遅延が後続タスクに与える影響を自動で算出します。"
"プロジェクト,アーカイブ,終了,非表示,復元","【プロジェクトのアーカイブ】完了したプロジェクトは「設定」→「プロジェクトをアーカイブ」で一覧から非表示にできます。アーカイブ後もデータは保持され、「アーカイブ一覧」からいつでも復元可能です。アーカイブ中はメンバーの編集操作が制限されます。"
"プロジェクト,検索,フィルター,絞り込み,一覧","【プロジェクトの検索・フィルター】プロジェクト一覧画面の検索バーでプロジェクト名やキーワードで検索できます。フィルター機能でステータス（進行中・完了・アーカイブ）、担当者、期間での絞り込みが可能です。"
