キーワード,内容
"レポート,作成,新規,種類","【レポートの新規作成】ダッシュボード左メニュー「レポート」→「＋新規作成」をクリックします。レポート名を入力し、対象プロジェクトとデータ範囲（期間）を指定します。「空白から作成」または既存テンプレートから選択して作成を開始します。"
"レポート,テンプレート,週次,月次,進捗","【レポートテンプレート】「週次進捗レポート」「月次サマリー」「リソース稼働レポート」「品質分析レポート」の4種類が標準で用意されています。テンプレートにはあらかじめグラフ・表・フィルターが設定されており、データ範囲を指定するだけで即座に生成できます。"
"グラフ,チャート,追加,棒グラフ,円グラフ,折れ線","【グラフ・チャートの追加】レポート編集画面で「＋ウィジェット追加」→「グラフ」を選択します。棒グラフ・円グラフ・折れ線グラフ・積み上げグラフから種類を選び、表示するデータ項目と集計方法を指定します。ドラッグでサイズと配置を調整できます。"
"エクスポート,PDF,Excel,出力,ダウンロード","【レポートのエクスポート】レポート画面右上の「エクスポート」ボタンからPDF形式またはExcel形式でダウンロードできます。PDF出力時はレイアウトがそのまま保持されます。Excel出力時は各ウィジェットのデータがシート別に出力されます。"
"フィルター,絞り込み,条件,データ範囲","【レポートのフィルター設定】レポート編集画面の「フィルター」パネルで表示データを絞り込めます。期間・担当者・ステータス・カテゴリなどの条件を組み合わせて設定可能です。保存したフィルターは次回以降も再利用できます。"
"ダッシュボード,ウィジェット,配置,カスタマイズ","【ダッシュボードのカスタマイズ】ダッシュボード画面の「編集モード」ボタンでウィジェットの追加・削除・配置変更ができます。利用可能なウィジェットはタスク進捗・直近の期限・チームの稼働率・お知らせなどがあります。レイアウトはユーザーごとに保存されます。"
"定期配信,スケジュール,自動送信,メール,レポート","【レポートの定期配信】レポート画面の「配信設定」から自動メール配信を設定できます。配信頻度（毎日・毎週・毎月）と配信先メールアドレスを指定します。配信時点の最新データでレポートが自動生成され、PDF添付で送信されます。"
"データ,インポート,CSV,取り込み,一括","【データのインポート】「データ管理」→「インポート」からCSVファイルをアップロードしてデータを一括取り込みできます。インポート前にプレビュー画面でカラムのマッピングを確認・調整できます。最大ファイルサイズは50MBです。"
"レポート,共有,公開,リンク,閲覧権限","【レポートの共有】レポート画面の「共有」ボタンから他のユーザーにレポートを共有できます。「リンクで共有」を選ぶと閲覧用URLが発行されます。共有相手には「閲覧のみ」または「編集可」の権限を個別に設定できます。"
"集計,合計,平均,カウント,データ分析","【データの集計と分析】レポートの表ウィジェットでは列ごとに合計・平均・最大・最小・カウントの集計関数を設定できます。グループ化機能でカテゴリ別の小計を表示することも可能です。集計結果はエクスポート時にも保持されます。"
