キーワード,内容
"バックアップ,種類,フル,増分,差分,スケジュール","【バックアップの設定】管理コンソール「バックアップ管理」から設定します。バックアップの種類はフル（全データ）・増分（前回以降の変更分）・差分（フル以降の変更分）の3種類です。スケジュール設定で実行頻度（毎日・毎週）・開始時刻・保存先を指定できます。"
"バックアップ,復元,リストア,データ回復","【バックアップからの復元】管理コンソール「バックアップ管理」→「復元」タブでバックアップ一覧から復元ポイントを選択します。「復元開始」をクリックすると復元プロセスが実行されます。復元中はシステムが一時的に読み取り専用モードになります。完了後にデータの整合性を確認してください。"
"セキュリティ,ポリシー,パスワード規則,多要素認証,全体設定","【セキュリティポリシー設定】管理コンソール「セキュリティ設定」から組織全体のセキュリティポリシーを定義します。パスワードの最低文字数・有効期限・複雑さの要件、多要素認証の必須化、IPアドレス制限などを設定し「適用」ボタンで全ユーザーに反映されます。"
"アクセス制御,権限,ロール,グループ,制限","【アクセス制御の設定】管理コンソール「アクセス制御」でロール（システム管理者・部門管理者・一般ユーザー・閲覧者）ごとにアクセス可能な機能を定義します。ユーザーグループを作成し、グループ単位で権限を一括設定することも可能です。"
"通知,設定,メール,プッシュ,頻度,オンオフ","【通知設定】管理コンソール「通知管理」からシステム全体の通知ルールを設定します。通知チャネル（メール・プッシュ通知）と通知対象イベント（タスク期限・メンバー変更・システムアラート等）を組み合わせて設定できます。ユーザーは個人設定から自分の通知頻度を調整できます。"
"メール配信,SMTP,サーバー,テスト送信","【メール配信設定】管理コンソール「メール設定」からSMTPサーバーのアドレス・ポート番号・認証情報を入力します。「テスト送信」ボタンで設定が正しいか確認できます。送信元メールアドレスと表示名もここで設定します。"
"アップデート,更新,バージョン,メンテナンス","【システムアップデート】管理コンソール「システム情報」→「アップデート」で利用可能な更新を確認できます。アップデート前に自動バックアップが実行されます。メンテナンス時間帯を設定し、その間ユーザーにメンテナンス通知が表示されます。通常のアップデートではデータは保持されます。"
"ログ,監査,操作履歴,エクスポート,調査","【ログ・監査管理】管理コンソール「監査ログ」からユーザーの操作履歴（ログイン・データ変更・権限変更等）を確認できます。期間・ユーザー・操作種別でフィルタリングし、CSV形式でエクスポート可能です。セキュリティインシデントの調査に活用できます。"
"暗号化,データ保護,キー,ローテーション,TLS","【データ暗号化設定】管理コンソール「セキュリティ設定」→「暗号化」で保存データの暗号化（AES-256）を有効化できます。通信はTLS 1.3で暗号化されます。暗号化キーは90日ごとの自動ローテーションを推奨します。キーの手動ローテーションも可能です。"
"ストレージ,容量,使用量,クリーンアップ,上限","【ストレージ管理】管理コンソール「ストレージ」で現在の使用量と上限を確認できます。使用量が80%を超えるとアラートが表示されます。「クリーンアップ」機能で削除済みデータの完全消去やアーカイブ済みプロジェクトの添付ファイル圧縮を実行し、容量を確保できます。"
